tax_id,Org_name-new_name,Org_name,GeneID,CurrentID,Status,Symbol,Symbol CAPS,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM,Column1
9031,J,Gallus gallus,395346,0,live,BCO1,bco1,"BCDO, BCMO1",beta-carotene oxygenase 1,"beta,beta-carotene 15,15'-dioxygenase|beta,beta-carotene 15,15'-monooxygenase|beta-carotene 15,15'-dioxygenase|beta-carotene 15,15'-monooxygenase 1|beta-carotene dioxygenase 1",,11,NC_006098.5,15458803,15472637,plus,12,,
9031,J,Gallus gallus,396186,0,live,BDNF,bdnf,,brain derived neurotrophic factor,brain-derived neurotrophic factor|neurotrophic factor|pre-pro-brain-derived,,5,NC_006092.5,3976740,4022593,minus,9,,
48883,K,Geospiza fortis,102034857,0,live,BET1L,bet1l,,Bet1 golgi vesicular membrane trafficking protein like,BET1-like protein,,Un,,,,,,,
55661,K,Cuculus canorus,104065459,0,live,BOLA3,bola3,,bolA family member 3,bolA-like protein 3,,Un,,,,,,,
31138,H,Trachemys scripta elegans,117886185,0,live,BPI,bpi,,bactericidal permeability increasing protein,bactericidal permeability-increasing protein,,12,NC_048309.1,1555915,1571833,plus,15,,
64176,D,Podarcis muralis,114599957,0,live,BPIFB2,bpifb2,,BPI fold containing family B member 2,BPI fold-containing family B member 2,,6,NC_041317.1,96948479,96972779,plus,17,,
9031,J,Gallus gallus,419289,0,live,BPIFB3,bpifb3,"BPIFB8, OCX36, OVO36",BPI fold containing family B member 3,BPI fold containing family B member 3|Ovocalyxin-36,,20,NC_006107.5,10275118,10296054,plus,22,,
103695,B,Pogona vitticeps,110090905,0,live,BPIFB4,bpifb4,,BPI fold containing family B member 4,BPI fold-containing family B member 4,,Un,,,,,,,
35019,G,Thamnophis sirtalis,106551115,0,live,BPIFB6,bpifb6,,BPI fold containing family B member 6,BPI fold-containing family B member 6,,Un,,,,,,,
103695,B,Pogona vitticeps,110084368,0,live,BPIFC,bpifc,,BPI fold containing family C,BPI fold-containing family C protein,,Un,,,,,,,
9031,J,Gallus gallus,771461,0,live,BPIFCB,bpifcb,"BIPL2b, BPIL2","BPI fold containing family C, member B","BPI fold containing family C, member B|BPI fold-containing family C protein|bactericidal/permeability-increasing protein-like 2",,1,NC_006088.5,53270584,53286241,plus,16,,
9031,J,Gallus gallus,419290,0,live,BPIL3,bpil3,,bactericidal/permeability-increasing protein-like 3,BPI fold-containing family B member 3|bactericidal/permeability-increasing protein-like 3,,20,NC_006107.5,10310739,10316295,plus,16,,
9031,J,Gallus gallus,396239,0,live,BRAF,braf,"C-RMIL, RMIL","B-Raf proto-oncogene, serine/threonine kinase",serine/threonine-protein kinase B-raf|B-Raf proto-oncogene serine/threonine-protein kinase|proto-oncogene B-Raf|proto-oncogene c-Rmil|rmil serine/threonine-protein kinase|serine/threonine kinase|serine/threonine-protein kinase Rmil|v-raf murine sarcoma viral oncogene homolog B|v-raf murine sarcoma viral oncogene homolog B1,,1,NC_006088.5,56919612,57002459,minus,21,,
9031,J,Gallus gallus,100327631,0,live,BTEMP,btemp,,Body temperature,,23 3-7 cM,23,,,,,,,
9031,J,Gallus gallus,419932,0,live,BTG2,btg2,,BTG anti-proliferation factor 2,"protein BTG2|B-cell translocation gene 2|BTG family, member 2",,26,NC_006113.5,5122814,5126864,plus,2,,
223781,K,Aquila chrysaetos chrysaetos,115347632,0,live,C1H4orf46,c1h4orf46,,chromosome 1 C4orf46 homolog,renal cancer differentiation gene 1 protein,,1,NC_044004.1,47011139,47012778,plus,2,,
9031,J,Gallus gallus,421779,0,live,C3H6ORF203,c3h6orf203,C6orf203,"chromosome 3 open reading frame, human C6orf203",mitochondrial transcription rescue factor 1,,3,NC_006090.5,67999788,68003969,minus,4,,
9244,K,Calypte anna,103528523,0,live,C4AH4orf46,c4ah4orf46,,chromosome 4A C4orf46 homolog,renal cancer differentiation gene 1 protein,,4A,NC_044248.1,31703568,31704901,plus,2,,
9031,J,Gallus gallus,107053203,0,live,C4H4ORF46,c4h4orf46,,"chromosome 4 open reading frame, human C4orf46",renal cancer differentiation gene 1 protein,,4,NC_006091.5,21928132,21929479,minus,2,,
31138,H,Trachemys scripta elegans,117877638,0,live,C5H4orf46,c5h4orf46,,chromosome 5 C4orf46 homolog,renal cancer differentiation gene 1 protein,,5,NC_048302.1,61881304,61884239,minus,2,,
64176,D,Podarcis muralis,114603818,0,live,C9H4orf46,c9h4orf46,,chromosome 9 C4orf46 homolog,renal cancer differentiation gene 1 protein,,9,NC_041320.1,36527353,36530579,plus,2,,
9031,J,Gallus gallus,396257,0,live,CA2,ca2,,carbonic anhydrase 2,carbonic anhydrase 2|CA-II|carbonate dehydratase II|carbonic anhydrase II,,2,NC_006089.5,122766270,122782525,plus,7,,
9031,J,Gallus gallus,395895,0,live,CACNA1D,cacna1d,,calcium voltage-gated channel subunit alpha1 D,"voltage-dependent L-type calcium channel subunit alpha-1D|CHCACHA1D|L-type voltage-gated calcium channel alpha1D subunit ChCaChA1D|calcium channel, voltage-dependent, L type, alpha 1D subunit|voltage-gated calcium channel subunit alpha Cav1.3",,12,NC_006099.5,7418461,7618880,plus,54,,
146911,C,Gekko japonicus,107123476,0,live,CACTIN,cactin,,"cactin, spliceosome C complex subunit",cactin,,Un,,,,,,,
9031,J,Gallus gallus,396519,0,live,CALB1,calb1,CaBP-D28k,calbindin 1,"calbindin|28-kDa vitamin D-dependent calcium-binding protein|CaBP-28|Calbindin D-28K|Calbindin D28k|Chicken intestinal 28-kilodalton calbindin-D|D-28K|calbindin 1, 28kDa|calbindin D28|vitamin D-dependent calcium-binding protein, avian-type|vitamin D-induced calbindin-D28K",,2,NC_006089.5,124313483,124331355,minus,11,,
9031,J,Gallus gallus,428977,0,live,CALHM1,calhm1,FAM26C,calcium homeostasis modulator 1,"calcium homeostasis modulator protein 1|family with sequence similarity 26, member C",,6,NC_006093.5,24593725,24600892,minus,3,,
9031,J,Gallus gallus,423233,0,live,CAPN3,capn3,p94,calpain 3,calpain-3|CANP 3|calcium-activated neutral proteinase 3|calpain L3|calpain p94|muscle-specific calcium-activated neutral protease 3,,5,NC_006092.5,25874264,25902572,plus,24,,
9031,J,Gallus gallus,427256,0,live,CARNMT1,carnmt1,"C9orf41, CZH9ORF41",carnosine N-methyltransferase 1,carnosine N-methyltransferase,,Z,NC_006127.5,36823856,36845867,minus,11,,
9031,J,Gallus gallus,417033,0,live,CATSPER4,catsper4,TPCN1,cation channel sperm associated 4,two pore calcium channel protein 1|two pore segment channel 1,,15,NC_006102.5,12876678,12931987,minus,31,,
381198,K,Anser cygnoides domesticus,106040518,0,live,CCDC66,ccdc66,,coiled-coil domain containing 66,coiled-coil domain-containing protein 66,,Un,,,,,,,
9031,J,Gallus gallus,420608,0,live,CDCA7L,cdca7l,RAPGEF5,cell division cycle associated 7 like,cell division cycle-associated 7-like protein|Rap guanine nucleotide exchange factor (GEF) 5,,2,NC_006089.5,30557467,30596162,minus,10,,
8496,I,Alligator mississippiensis,102571658,0,live,CDH23,cdh23,"Y1Q_0022278, CDH23-1, CDH23-2",cadherin related 23,"cadherin-23|solute carrier family 29 (equilibrative nucleoside transporter), member 3",,Un,,,,,,,
9031,J,Gallus gallus,374068,0,live,CDH5,cdh5,cadherin-5,cadherin 5,"cadherin-5|cadherin 5, type 2 (vascular endothelium)|cadherin 5, type 2, VE-cadherin (vascular endothelium)|cadherin 5, type 2, VE-cadherin (vascular epithelium)",,11,NC_006098.5,11518581,11547959,minus,12,,
30419,K,Opisthocomus hoazin,104330570,0,live,CDK5RAP1,cdk5rap1,N306_00466,CDK5 regulatory subunit associated protein 1,LOW QUALITY PROTEIN: CDK5 regulatory subunit-associated protein 1,,Un,,,,,,,
9031,J,Gallus gallus,396185,0,live,CEBPB,cebpb,NF-M,CCAAT/enhancer binding protein beta,"CCAAT/enhancer-binding protein beta|CCAAT box/enhancer binding protein beta|CCAAT/enhancer binding protein (C/EBP), beta|CCR protein|c/EBP beta|transcription factor NF-M",,20,NC_006107.5,13708222,13709555,minus,1,,
202946,K,Apteryx mantelli mantelli,106485420,0,live,CEBPZ,cebpz,,CCAAT enhancer binding protein zeta,CCAAT/enhancer-binding protein zeta,,Un,,,,,,,
9031,J,Gallus gallus,418160,0,live,CECR1,cecr1,ADA2,"cat eye syndrome chromosome region, candidate 1",adenosine deaminase 2|adenosine deaminase CECR1,,1,NC_006088.5,61653446,61672321,minus,11,,
8469,H,Chelonia mydas,102943758,0,live,CEP95,cep95,UY3_02581,centrosomal protein 95,centrosomal protein of 95 kDa|Centrosomal protein of 95 kDa,,Un,,,,,,,
103695,B,Pogona vitticeps,110085723,0,live,CETP,cetp,,cholesteryl ester transfer protein,cholesteryl ester transfer protein,,Un,,,,,,,
381198,K,Anser cygnoides domesticus,106044609,0,live,CFAP74,cfap74,,cilia and flagella associated protein 74,cilia- and flagella-associated protein 74,,Un,,,,,,,
28377,A,Anolis carolinensis,100563827,0,live,cfap91,cfap91,maats1,cilia and flagella associated protein 91,"protein MAATS1|MYCBP associated and testis expressed 1|MYCBP-associated, testis expressed 1",,Un,,,,,,,
9031,J,Gallus gallus,100049619,0,live,CFTR,cftr,,cystic fibrosis transmembrane conductance regulator,"cystic fibrosis transmembrane conductance regulator|cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)",,1,NC_006088.5,24696007,24780327,minus,27,,
9031,J,Gallus gallus,423195,0,live,CHRM4,chrm4,,cholinergic receptor muscarinic 4,muscarinic acetylcholine receptor M4,,5,NC_006092.5,23869358,23884168,plus,4,,
9031,J,Gallus gallus,395608,0,live,CHRNA1,chrna1,NACHRA1,cholinergic receptor nicotinic alpha 1 subunit,"acetylcholine receptor subunit alpha|alpha-1 subunit, nicotinic acetylcholine receptor|cholinergic receptor, nicotinic, alpha 1 (muscle)|cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)",,7,NC_006094.5,16799664,16811371,plus,10,,
9031,J,Gallus gallus,430628,0,live,CHRNA10,chrna10,ALPHA 10 nAChR,"cholinergic receptor, nicotinic, alpha 10 (neuronal)",neuronal acetylcholine receptor subunit alpha-10|NACHR alpha-10|alpha 10 subunit of nicotinic acetylcholine receptor|nicotinic acetylcholine receptor subunit alpha-10,,1,NC_006088.5,197033423,197037102,minus,5,,
9031,J,Gallus gallus,395607,0,live,CHRNA2,chrna2,NACHRA2,cholinergic receptor nicotinic alpha 2 subunit,"neuronal acetylcholine receptor subunit alpha-2|alpha-2 subunit, nicotinic acetylcholine receptor|cholinergic receptor, nicotinic, alpha 2 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)",,3,NC_006090.5,105030006,105034586,minus,6,,
9031,J,Gallus gallus,386578,0,live,CHRNA3,chrna3,,cholinergic receptor nicotinic alpha 3 subunit,"neuronal acetylcholine receptor subunit alpha-3|cholinergic receptor, nicotinic, alpha 3 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 3",,10,NC_006097.5,4073466,4079283,plus,6,,
9031,J,Gallus gallus,395606,0,live,CHRNA4,chrna4,NACHRA4,cholinergic receptor nicotinic alpha 4 subunit,"neuronal acetylcholine receptor subunit alpha-4|alpha-4 subunit, nicotinic acetylcholine receptor|cholinergic receptor, nicotinic, alpha 4 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 4",,20,NC_006107.5,8871294,8889896,minus,6,,
9031,J,Gallus gallus,386577,0,live,CHRNA5,chrna5,,cholinergic receptor nicotinic alpha 5 subunit,"neuronal acetylcholine receptor subunit alpha-5|cholinergic receptor, nicotinic, alpha 5 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 5",,10,NC_006097.5,4080158,4096756,minus,9,,
9031,J,Gallus gallus,396321,0,live,CHRNA6,chrna6,,cholinergic receptor nicotinic alpha 6 subunit,"neuronal acetylcholine receptor subunit alpha-6|alpha 6 nicotinic acetylcholine receptor subunit|cholinergic receptor, nicotinic, alpha 6 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 6",,Z,NC_006127.5,53688052,53697089,plus,6,,
9031,J,Gallus gallus,374001,0,live,CHRNA7,chrna7,,cholinergic receptor nicotinic alpha 7 subunit,"neuronal acetylcholine receptor subunit alpha-7|cholinergic receptor, nicotinic, alpha 7 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 7",,10,NC_006097.5,7109509,7149541,minus,10,,
9031,J,Gallus gallus,395522,0,live,CHRNA9,chrna9,,cholinergic receptor nicotinic alpha 9 subunit,"neuronal acetylcholine receptor subunit alpha-9|NACHR alpha-9|cholinergic receptor, nicotinic, alpha 9 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 9|nicotinic acetylcholine receptor subunit alpha-9",,4,NC_006091.5,68964832,68969315,minus,5,,
9031,J,Gallus gallus,395605,0,live,CHRNB2,chrnb2,NACHRB2,cholinergic receptor nicotinic beta 2 subunit,"neuronal acetylcholine receptor subunit beta-2|N-alpha 1|beta-2 subunit, nicotinic acetylcholine receptor|cholinergic receptor, nicotinic, beta 2 (neuronal)|cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)|neuronal acetylcholine receptor non-alpha-1 chain",,25,NC_006112.4,2949573,2954363,plus,6,,
9031,J,Gallus gallus,395604,0,live,CHRNB3,chrnb3,NACHR,cholinergic receptor nicotinic beta 3 subunit,"neuronal acetylcholine receptor subunit beta-3|cholinergic receptor, nicotinic, beta 3 (neuronal)|cholinergic receptor, nicotinic, beta polypeptide 3|nicotinic acetylcholine receptor (nAChR) beta 3 subunit|nicotinic acetylcholine receptor beta 3 subunit",,Z,NC_006127.5,53700853,53711757,minus,5,,
9031,J,Gallus gallus,395613,0,live,CHRNB4,chrnb4,,cholinergic receptor nicotinic beta 4 subunit,"neuronal acetylcholine receptor subunit beta-4|N-alpha 3|cholinergic receptor, nicotinic, beta 4 (neuronal)|cholinergic receptor, nicotinic, beta polypeptide 4|neuronal acetylcholine receptor non-alpha-3 chain|nicotinic acetylcholine receptor beta-4 (non-alpha-3) subunit",,10,NC_006097.5,4055642,4067291,plus,6,,
