From	To
Q5ZLY8	ARPP19
O70377	Snap23
Q62356	Fstl1
Q9Z1X4	Ilf3
Q12906	ILF3
P97852	Hsd17b4
P51660	Hsd17b4
O95292	VAPB
Q5RDJ2	ZMYM2
Q3ZBP3	RBMS1
P29558	RBMS1
Q6PAY6	prodh2
P59083	PHPT1
P55214	CASP7
Q6NV34	decr2
Q9NUI1	DECR2
Q9CQC7	Ndufb4
A5D7K1	SARG
Q8BGC0	Htatsf1
Q5RAV3	AIDA
Q2KJC1	CDC5L
O08837	Cdc5l
Q86TM6	SYVN1
Q7Z9I2	SPCC663.09c
P51658	Hsd17b2
Q8K1N4	Spats2
Q5ZJ85	PRPF3
Q9WTX6	Cul1
Q5R4G6	CUL1
D2HBV9	SRD5A3
Q9Y5R8	TRAPPC1
Q9CRA8	Exosc5
O76080	ZFAND5
Q5PQ53	pef1
Q5XF89	Atp13a3
Q9H7F0	ATP13A3
Q06210	GFPT1
P82808	Gfpt1
P60509	ERVPABLB-1
P03360	pol
P03398	env
Q9TTC1	pro-pol
A1Z651	gag-pol
P31795	pol
Q99PL6	Ubxn6
Q5ZKZ9	LMF2
Q9UHQ4	BCAP29
A2RTX5	TARS3
Q96BJ8	ELMO3
Q90705	EEF2
Q5R8Z3	EEF2
O43847	NRDC
P26894	CXCL8
Q30154	HLA-DRB5
Q5VW38	GPR107
Q8BUV8	Gpr107
Q9BG91	SOX9
P07221	CASQ1
Q5ZHZ4	CBLL1
Q5R5N9	AAR2
Q0V8E7	STRA6
Q5ZMA6	NADSYN1
O09015	Mxi1
Q5R4U3	TAX1BP1
Q86VP1	TAX1BP1
P47990	XDH
P51689	ARSD
Q60HH5	ARSL
Q03112	MECOM
Q58D63	MOB3A
O54937	Pdk4
Q16654	PDK4
Q8R5C5	Actr1b
Q9W790	TCP1
B1AT66	Slc16a6
Q5F361	TBCK
Q90WD0	ACTR3
Q5XH09	cmbl
P13609	Srgn
Q6PF69	mvp
Q3T196	YIF1A
O95070	YIF1A
P60522	Gabarapl2
Q791N7	Znrd1
Q61398	Pcolce
Q08DU8	BLOC1S6
Q969L2	MAL2
Q78EG7	Ptp4a1
Q9GKR7	IQCG
Q7TNG8	Ldhd
O75521	ECI2
P30050	RPL12
Q9ERE8	Tlnrd1
Q9Y6W5	WASF2
A1L2P5	hoxd3
O43813	LANCL1
P21109	CXCR1
Q99JY8	Plpp3
Q96HC4	PDLIM5
Q03249	Galt
Q58DR5	SCAMP3
P22232	fbl
Q9UJS0	SLC25A13
Q8HXW2	SLC25A13
Q640B4	mus81
Q13237	PRKG2
Q9D7W5	Med8
P62836	Rap1a
Q15904	ATP6AP1
Q5R587	POLR2E
Q9H2D6	TRIOBP
Q9NR09	BIRC6
Q8BHY8	Snx14
Q9NU53	GINM1
P05166	PCCB
Q9UMX0	UBQLN1
P21670	Psma4
Q5R788	ISCA2
P98164	LRP2
P00750	PLAT
Q14344	GNA13
O70191	Atf5
Q9Y2D1	ATF5
Q91VN6	Ddx41
P00348	HADH
Q02368	NDUFB7
Q5ZKW2	LZIC
Q8BNU0	Armc6
O43396	TXNL1
Q2KID9	MRPS5
Q68FG0	Zc4h2
Q8TCS8	PNPT1
Q9CX66	D10Wsu102e
O95831	AIFM1
Q8K0H1	Slc47a1
Q3V050	Slc47a2
P08641	CDH1
Q8TEA8	DTD1
Q5RF54	COPS8
P20062	TCN2
Q9R0D6	Tcn2
Q9NV70	EXOC1
Q9GKX2	DHRS4
O35593	Psmd14
Q6AYE4	Atp6v1c2
Q5JVF3	PCID2
P11505	Atp2b1
Q98SH2	ATP2B1
O35551	Rabep1
Q5E9H7	HSD17B12
O35218	Cpsf2
P56960	Exosc10
Q56P03	EAPP
O73884	PHOSPHO1
Q96CP7	TLCD1
P36639	NUDT1
P49915	GMPS
Q5RA96	GMPS
Q1T765	CENPN
Q5T013	HYI
K7FSQ4	SCNN1G
O15344	MID1
Q92734	TFG
Q5R795	MFF
P13696	PEBP1
Q5R4R0	PEBP1
P56513	FXYD1
Q9I9K9	GATM
P50441	GATM
Q96M27	PRRC1
Q8CCK0	Macroh2a2
Q2KJD9	ELOVL5
Q920L7	Elovl5
Q9D2Y9	Elovl7
Q00978	IRF9
Q8VE70	Pdcd10
Q5XI29	Cpsf7
Q8N684	CPSF7
Q58DW0	RPL4
P36578	RPL4
O18993	CYP3A21
Q86WZ0	HEATR4
Q5ZM71	SUPT20H
Q9N0W2	FUT8
Q6EV77	FUT8
Q9BUN8	DERL1
Q8N9N7	LRRC57
Q5FVI3	Lrrc57
P11442	Cltc
Q00610	CLTC
Q68FD5	Cltc
P26882	PPID
O35490	Bhmt
Q5M8Z0	bhmt
Q6IA86	ELP2
Q5EBD9	elp2
P13474	ETS1
P15062	ETS1
A0SXL6	EEF2
P58252	Eef2
P05197	Eef2
Q7Z3G6	PRICKLE2
Q06335	Aplp2
P15943	Aplp2
Q1RMT8	IRAK4
Q5ZKQ3	RPAP3
Q9H9L3	ISG20L2
Q12888	TP53BP1
P70399	Tp53bp1
Q28BZ2	hint3
Q9NQE9	HINT3
O35900	Lsm2
Q5F480	ITPK1
Q9NZ09	UBAP1
Q5RAA9	NIPSNAP3A
Q8VCB1	Ndc1
Q6AXN4	Ndc1
Q9Y5P8	PPP2R3B
Q5ZHP5	CHMP4B
O95749	GGPS1
Q811U4	Mfn1
Q9UPN7	PPP6R1
Q3KQE5	tmem38b-a
Q6GN30	tmem38b-b
Q9BXS5	AP1M1
O00458	IFRD1
A0JNI5	CLASRP
P63329	Ppp3ca
Q9ULX6	AKAP8L
O15439	ABCC4
O75943	RAD17
Q28F39	ccdc134
Q5XGD7	tmem45b
Q3T130	TMEM45B
Q6ZMB5	TMEM184A
Q1RMW2	TMEM184A
Q5ZJ20	FYTTD1
Q9UKB1	FBXW11
Q0P6D2	DIPK1C
Q80UM7	Mogs
Q3U0Y2	Tmem35b
Q60452	ERCC2
Q9BSI4	TINF2
Q9QXG9	Tinf2
Q5RC27	TSPAN1
O14807	MRAS
Q8NEZ5	FBXO22
Q9P0V9	SEPTIN10
Q5EA76	INTS14
Q08DD7	SNX11
Q5R4R6	SRP54
Q76KJ5	Cd3eap
Q5RC37	NPM3
Q5RFT1	SLC35F6
Q5ZHK9	LLPH
Q9UHG0	DCDC2
Q3T906	GNPTAB
O88685	Psmc3
Q63569	Psmc3
P51903	PGK
Q60GI5	GADD45A
Q12873	CHD3
Q800L3	MED22
Q15528	MED22
Q62186	Ssr4
Q07984	Ssr4
P46029	SLC15A2
Q5D144	TFAM
Q60HH9	ALAD
Q2T9Y6	GCLM
O57579	ANPEP
Q5RAU6	TMEM167B
Q91WM3	Rrp9
Q5ZJ65	FAM76A
Q9D8V0	Hm13
Q923I7	Slc5a2
Q9QXM0	Abhd2
P62246	Rps15a
P63245	Rack1
Q9Y3I0	RTCB
A9CB42	RTCB
O60513	B4GALT4
P35219	CA8
O14880	MGST3
Q91819	aurka-b
Q96B97	SH3KBP1
O75909	CCNK
Q642R9	rab3gap1
Q15042	RAB3GAP1
P41731	Cd63
A6H8Y1	BDP1
Q86TI2	DPP9
Q5F3N1	PCMT1
Q9HAC7	SUGCT
P18754	RCC1
A5D7B5	SMIM19
Q9TTU3	CLCN5
P13214	ANXA4
P50994	ANXA4
Q3LFU0	CYP1A1
P79761	CYP1A5
Q9CZU3	Mtrex
Q99643	SDHC
Q9NTJ4	MAN2C1
Q5R6F0	PITPNB
Q9TR36	PITPNB
P53812	Pitpnb
P35623	SHMT1
P07511	SHMT1
Q9Y426	C2CD2
P27824	CANX
Q5R440	CANX
P24643	CANX
P35565	Canx
Q5RB69	CCDC86
P29374	ARID4A
P05165	PCCA
P07203	GPX1
Q3ZCK1	EIF3L
Q0P5B1	PEX13
Q5ZIK9	COPE
Q6P5S7	RNASEK
Q99102	MUC4
Q8JZM8	Muc4
Q5RB83	PSPH
Q3T0F5	RAB7A
O75363	BCAS1
Q5ZK40	SMARCB1
Q9DA39	Tmbim4
Q9HC24	TMBIM4
P51893	ahcy-a
Q8VHI8	Bnip1
P80912	HINT1
Q96MC6	MFSD14A
O14618	CCS
Q9BXD5	NPL
Q9H2G2	SLK
Q7Z2W4	ZC3HAV1
Q9H0J9	PARP12
Q8IYB5	SMAP1
Q2TBK2	MRPL9
Q9Y4W2	LAS1L
Q99JY4	Trabd
O08664	Bcl7c
Q0VCX2	HSPA5
Q90593	HSPA5
P04354	CALB1
Q29214	RPLP0
Q61488	Dhh
Q5NVM2	DYNC1I2
Q0III3	DYNC1I2
O88487	Dync1i2
Q08345	DDR1
Q9D7M8	Polr2d
P01904	H2-Ea
P14439	H2-Ea
Q9UJX6	ANAPC2
Q6PCU8	Ndufv3
P79382	MGST1
P85125	Cavin1
Q5R4B8	RALB
Q6NXH3	Gpbp1
Q8TDY4	ASAP3
P51150	Rab7a
Q9PV94	SNRPB
Q98TX2	RPS3A
O97492	CAT
Q9PWF7	cat
P24270	Cat
Q3SZI0	MPI
O43324	EEF1E1
P07093	SERPINE2
Q3YBR2	TBRG1
Q6QAP7	RPS17
Q8JZS9	Mrpl48
Q96GC5	MRPL48
Q5F3G7	C1GALT1
Q9H477	RBKS
Q3TCH7	Cul4a
Q5ZL12	PPP1R21
P50516	Atp6v1a
Q90647	ATP6V1A
Q6DIC0	Smarca2
P51531	SMARCA2
Q8WNV2	INTS12
F1Q8C3	cyp2k6
P33266	CYP2E1
Q92090	cyp2k1
O93297	cyp2k4
Q5ZJC8	MTERF3
Q5ZKN1	CDK9
Q68FR6	Eef1g
Q9D8N0	Eef1g
Q7Z628	NET1
Q91YE9	Nt5c1b
Q5F339	HCCS
O95394	PGM3
Q00532	CDKL1
P81265	PIGR
O70570	Pigr
P97440	Slbp
O43670	ZNF207
Q6NS15	med15
P26038	MSN
Q9D882	Fam241b
P68511	Ywhah
A4FUD6	ELMO2
P25113	Pgam1
Q9I8K7	CITED3
Q9Y6R9	CCDC61
Q9PTD5	MTFR1
O88480	Cabin1
Q63ZU3	myadm
Q5ZK69	PAAF1
P0C1Z6	TFPT
P09482	CHRNA4
P36371	Tap2
P05106	ITGB3
P62193	Psmc1
Q96T60	PNKP
Q5ZIZ2	SMYD5
Q2HJJ0	KLC4
Q9NSK0	KLC4
Q5ZKU8	PAK1IP1
P97300	Nptn
P97546	Nptn
P79251	ATP6V1G1
Q80VR3	Sult1c1
O00338	SULT1C2
Q9HAS0	C17orf75
P16039	NPM1
P08267	FTH
P61203	Cops2
Q9YH58	FTCD
Q2VB19	PUM1
Q5ZMK5	JMJD6
P80385	Prkag1
P58108	PRKAG1
Q28CH8	yipf6
Q29RU6	G6PC
P35575	G6PC
Q5ZJZ5	BDH1
P24461	CYP2G1
Q05555	CYP2A10
Q8NEY8	PPHLN1
Q9CZX9	Emc4
P97465	Dok1
Q9UJX3	ANAPC7
O55125	Nipsnap1
Q9FWW6	At1g12160
O70444	Pim3
P13804	ETFA
Q8HXW6	PPT1
Q91924	snai2
Q32LJ2	ARFRP1
Q04619	HSP90AB1
P30947	HSP90AB1
O02703	BAX
Q6PGH2	Jpt2
Q6NYK8	marchf5
Q8BG21	Cacfd1
Q62280	Ss18
Q5RA70	MMGT1
Q32KH5	GALNS
Q32LE4	GGCT
Q8HZQ5	EZR
P31976	EZR
Q7ZXV3	actr2-b
Q5RAM7	PFDN1
Q9UKV5	AMFR
P84169	PSMD13
P78417	GSTO1
P26369	U2af2
P26368	U2AF2
Q9JI33	Ntn4
Q5R7J9	EIF4G2
Q4G2S9	BLCAP
Q5ZKK4	mesd
Q68EQ1	gmppb
A2VD83	gmppb-b
Q68EY9	gmppb-a
O95807	TMEM50A
Q9Y2K1	ZBTB1
Q5RBB3	NOB1
Q4R537	NOB1
Q6P0K8	Jup
Q92636	NSMAF
Q8CHT1	Ngef
Q5RDX5	NGEF
Q5BKC9	Ngef
Q5XTS1	PNPLA8
Q9CQZ7	Polr3k
P21328	pol
Q640B3	pld3
P10288	CDH2
Q8IXQ4	GPALPP1
Q69ZC8	Gpalpp1
P52209	PGD
Q9D7J4	Cox20
P0C7M7	ACSM4
Q80W40	Acsm4
O00154	ACOT7
O75881	CYP7B1
O15287	FANCG
Q9EQR6	Fancg
Q99KX1	Mlf2
O35393	Efnb3
Q9BVN2	RUSC1
B0R160	lrwd1
Q8SPI4	NDUFC2
Q5R9R4	RPL7
P18124	RPL7
Q6P4Y9	atp6v1c1
P79134	ANXA6
Q8NEZ2	VPS37A
P11117	ACP2
Q3KQG9	acp4
Q5NVF6	ACP2
Q96A65	EXOC4
Q9BVS5	TRMT61B
Q9BW91	NUDT9
Q8BVU5	Nudt9
Q5ZIT5	RAB10
Q8NDY8	TMEM52
P19944	Rplp1
Q863B3	SND1
Q5ZHX6	SLC41A2
P14791	HMOX1
O35586	IDI1
Q96N11	C7orf26
Q3T0S0	TMEM128
P48740	MASP1
Q5RAL9	GNPNAT1
Q98TX1	TXN
Q5ZIL9	Kifbp
Q5BKL9	sdf4
Q8N264	ARHGAP24
Q5U2Z7	Arhgap24
Q9QXE7	Tbl1x
O13067	ncaph
Q8C156	Ncaph
Q5ZM33	HP1BP3
Q5ZMW3	API5
Q15717	ELAVL1
O00189	AP4M1
Q29RY8	AP4M1
O94832	MYO1D
Q63357	Myo1d
Q15393	SF3B3
Q60850	Slc23a3
Q9EPL8	Ipo7
Q5ZJH2	NCLN
Q3T0T5	JPT1
Q96EY5	MVB12A
P28227	ME1
P0DP35	calm2-b
A1YIZ1	SEPHS2
Q5R8K6	RPL35A
Q9Y2H1	STK38L
Q9PUU8	CNMD
Q02543	RPL18A
P97865	Pex7
Q5U4T9	mboat7
Q32P84	TMEM258
Q28479	IDH3B
Q8WUM4	PDCD6IP
Q6P0U0	amdhd2
Q92925	SMARCD2
Q29611	CLN3
D3YZP9	Ccdc6
Q01813	PFKP
Q8K386	Rab15
Q8N5X7	EIF4E3
Q9UJM8	HAO1
Q6XLQ7	CALU
P48819	VTN
P06280	GLA
Q6DGF9	Acbd4
Q15628	TRADD
Q2KI74	TRADD
A5PKH3	FAH
P16930	FAH
Q5R7L3	MRPL16
Q3SZM7	DPEP1
Q13243	SRSF5
Q09167	Srsf5
Q99N96	Mrpl1
O75323	NIPSNAP2
Q4R4I6	CAP1
P13731	SERPINH1
Q00973	B4GALNT1
Q10468	B4galnt1
Q3ZCA1	LRATD1
Q9D650	Lratd1
Q96KC8	DNAJC1
Q7SYR1	osgep
Q2KJ44	PTPA
Q75QI0	CFDP1
Q5FWY5	Aip
Q13769	THOC5
Q5ZJK1	THOC5
Q00839	HNRNPU
Q9H813	PACC1
Q07816	BCL2L1
Q32KY3	MLF1
Q92733	PRCC
Q5R9Q6	RAMAC
Q13576	IQGAP2
Q3UQ44	Iqgap2
Q91YX5	Lpgat1
Q2KI84	HARS1
Q9Z1G4	Atp6v0a1
P25286	Atp6v0a1
Q9D5T0	Atad1
Q8IUC4	RHPN2
Q9WUH4	Fhl1
Q12959	DLG1
A0JMW6	tmem214-a
Q28DB5	gpt2
Q6GM82	gpt2
Q8R0L1	Stap2
Q9UGK3	STAP2
Q3ULD5	Mccc2
Q0VFZ6	CCDC173
P02746	C1QB
Q9ZZY2	MT-ND4
Q8TBC4	UBA3
Q99MI7	Uba3
Q9P2N6	KANSL3
Q9NY97	B3GNT2
Q10713	PMPCA
P07850	SUOX
Q99633	PRPF18
Q5VUM1	SDHAF4
P46896	SLC2A1
Q5BJ91	acy3
Q96HD9	ACY3
P11179	DLST
Q01205	Dlst
O15143	ARPC1B
Q15653	NFKBIB
Q14019	COTL1
O95208	EPN2
P25942	CD40
Q5ZMP3	TMEM184C
Q13825	AUH
P70531	Eef2k
O00418	EEF2K
Q9HAU8	RNPEPL1
Q9UHK6	AMACR
Q5M7Z0	RNFT1
Q9JIQ3	Diablo
Q9D024	Ccdc47
Q8K4G9	Nphs2
P51538	Cyp3a9
O75534	CSDE1
Q91W50	Csde1
Q68EK7	rab4b
Q9EPU4	Cpsf1
Q6ITQ4	PDZK1IP1
Q0VCB2	HDAC8
Q5ZMQ9	PEX5
Q6ISB3	GRHL2
P70677	Casp3
P54921	Napa
P47855	APOBEC1
Q694B3	APOBEC1
A4FV08	GNPDA1
Q9DC58	Dram1
Q1JQE0	SNW1
A5JTQ3	Xyl2
O12940	TOM1
O60784	TOM1
Q5ZHM5	RER1
O60683	PEX10
Q6NU40	chtf18
Q9UKQ2	ADAM28
P80895	PCMT1
Q5RFT7	RBM12B
O42241	gnrh2
Q9ERK0	Ripk4
Q5U211	Snx3
Q6NWG0	tspan36
Q8BP97	Rhbdd3
Q13823	GNL2
Q9DBX3	Susd2
P25305	Gjb3
Q16790	CA9
Q71SY5	MED25
Q6GP15	med25
Q3MIN7	RGL3
Q3UYI5	Rgl3
Q96B26	EXOSC8
P35221	CTNNA1
P26231	Ctnna1
P55157	MTTP
Q9DBJ6	Josd1
Q9UMR2	DDX19B
Q9UI17	DMGDH
Q8JFP1	EIF4A2
O95164	UBL3
Q5RBP4	EHD1
Q5E9R3	EHD1
Q99020	Hnrnpab
Q8N5B7	CERS5
P19179	PLS1
Q8NBN3	TMEM87A
Q8BYA0	Tbcd
Q8NF99	ZNF397
Q1JQ99	MRPL14
P12955	PEPD
Q5I0D7	Pepd
P67884	RPL30
Q1ZYR0	CLN5
Q5JZQ9	CLN5
Q9H173	SIL1
P56517	HDAC1
Q32L15	RNF141
P62845	Rps15
P32429	RPL7A
Q14978	NOLC1
Q14451	GRB7
P35637	FUS
P56959	Fus
Q28009	FUS
O43390	HNRNPR
Q61990	Pcbp2
Q5ZLF4	SLC30A5
Q6UWE0	LRSAM1
E2RG47	STT3B
Q8BVR6	Rspry1
P05981	HPN
Q5RBM1	RPN2
Q9NYH9	UTP6
Q8BGF9	Slc25a44
Q9QY93	Dctpp1
P13668	Stmn1
P31395	STMN1
Q5ZMJ9	SRRM1
O14569	CYB561D2
Q8CI75	Dis3l2
F1LMZ8	Psmd11
Q9ULD5	ZNF777
Q5RBQ3	ZNF549
P47836	RPS4
P79103	RPS4
Q96IZ2	ADTRP
Q15007	WTAP
Q9ER69	Wtap
P52191	Kcnj16
Q5RER5	HNF1B
Q9YHT1	SDHA
P28358	HOXD10
Q5F398	MAEA
Q53SF7	COBLL1
Q3UMF0	Cobll1
Q5XIA3	Lcmt2
Q8WVP7	LMBR1
O14975	SLC27A2
Q63413	Ddx39b
Q3T147	DDX39B
Q5ZHZ0	DDX39B
Q9BUR5	APOO
Q767K9	PPP1R10
Q5F381	EPCAM
Q6NW52	msrb2
O54963	Rest
Q68FI3	ddt-a
Q8NE71	ABCF1
Q767L0	ABCF1
Q7YR37	ABCF1
Q5F425	LIN7C
Q792I0	Lin7c
A1L2R7	tmem120a
Q5ZLY2	HAGHL
Q6P135	tmub1
Q5RCY9	SCAMP4
A2AWA9	Rabgap1
P70582	Nup54
O42148	OAZ
Q708S4	asic4a
P31408	ATP6V1B2
Q8BWF0	Aldh5a1
Q6P582	MZT2A
Q6NU46	acat1-a
P40925	MDH1
Q58DR0	ANAPC16
Q8R143	Pttg1ip
Q9CRA5	Golph3
P16924	P4HA1
Q5ZL57	ARCN1
Q9BYG5	PARD6B
Q8BH83	Ankrd9
Q9UGB7	MIOX
Q5REY9	MIOX
Q9QXN4	Miox
Q9QXN5	Miox
Q8WN98	MIOX
Q5BIZ2	gabarapl1
Q99758	ABCA3
Q5ZKC1	EIF2A
Q99424	ACOX2
Q3MHG6	GTPBP10
Q5ZIP4	XRN2
Q90XD2	AGMAT
P25785	Timp2
Q66J54	slc22a6-a
Q7Z7F7	MRPL55
P09131	SLC10A3
P97554	Dnajb9
Q9QYI6	Dnajb9
Q99JR5	Tinagl1
Q9Y394	DHRS7
Q5HZQ9	pcnx4
Q5RCF3	CUL2
Q96FZ5	CMTM7
Q10126	F52C9.6
Q5R7N3	CLPX
Q5U2U0	Clpx
Q5RFF7	TTC38
P21329	jockey\pol
Q29RU9	PIPOX
P25786	PSMA1
Q9BSD7	NTPCR
Q1LZ78	NTPCR
P21158	csgA
Q9BWD1	ACAT2
Q0VCN3	IFT27
Q9D0P8	Ift27
Q52I78	NAMPT
Q6GLN5	ndfip1
Q14807	KIF22
P01109	MYC
Q9NX94	WBP1L
P0C1G7	Wbp1l
Q5ZML9	SETD3
Q4R503	SNX1
Q86XP0	PLA2G4D
P30414	NKTR
P58468	Fam207a
Q99614	TTC1
Q8TDB6	DTX3L
Q12931	TRAP1
Q66J69	rnf2-a
Q96AJ9	VTI1A
Q8MI35	NPW
Q5ZK09	HIKESHI
Q9BQA5	HINFP
P55211	CASP9
Q08E38	PRPF19
Q5RE69	MME
Q99KN2	Ciao1
Q60544	TAF1
P21675	TAF1
P09086	POU2F2
Q6P825	tomm40
A6H7E2	CINP
O95793	STAU1
Q32KS2	DNAI1
A2A8L5	Ptprf
Q3ZCF5	OAT
Q6UXT8	ALKAL1
Q9DAK3	Rhobtb1
Q0MQI0	NDUFS7
P50408	Atp6v1f
Q5RC74	DERL2
Q6P7K5	emc10
O15127	SCAMP2
Q9Y2V2	CARHSP1
Q3SZK1	AAMP
P49024	PXN
Q2KHV4	PARL
Q14541	HNF4G
Q8R2H3	Bsnd
P50398	Gdi1
A5A6H9	BCKDHA
P12105	COL3A1
Q6DV14	PRDX1
P84903	Stim1
Q5RDB5	CNIH1
Q6P8D9	ube2m
Q9DCT8	Crip2
P52943	CRIP2
Q5ZIU8	KATNB1
Q6P9H4	CNKSR3
Q9NYL9	TMOD3
Q9UBE8	NLK
Q9D361	Snrnp48
Q8IVY1	C1orf210
O14832	PHYH
Q9D845	Tex9
Q8N6V9	TEX9
Q9P289	STK26
Q7L576	CYFIP1
P62071	Rras2
Q9NQL2	RRAGD
Q708W1	foxj1-b
Q5M7N6	foxj1
Q2TAA2	IAH1
O60664	PLIN3
Q9CQS8	Sec61b
Q66UW5	Isg20
Q2KIU2	PMVK
E1C1L6	ENTPD5
P35276	Rab3d
Q5BLE8	retsat
Q96PC5	MIA2
Q5BVD1	TTMP
Q3ZCU0	GVQW3
Q9JJ26	Mefv
Q5ZIQ3	HNRNPK
Q96EH3	MALSU1
Q08DS7	AP2B1
Q5REY0	COPS6
Q5ZMD2	ANKMY2
Q61140	Bcar1
Q99KJ8	Dctn2
Q6DGG1	Abhd14b
P56701	PSMD2
Q13200	PSMD2
Q8VDM4	Psmd2
Q5ZIN0	ABHD12
Q4JF28	IRF3
Q9ESU6	Brd4
O60885	BRD4
O43795	MYO1B
Q6P9T8	Tubb4b
Q9NYY8	FASTKD2
Q5E954	DNAJA1
Q5XFN2	DES
P02542	DES
Q6P819	cnot9
Q5PQL2	Cnot9
Q5R6Z6	CNOT9
O14944	EREG
Q5PQR4	Rsrc2
A6QLS2	RSRC2
Q5R8J6	RSRC2
O70477	Pknox1
Q14527	HLTF
Q9I8I2	BOK
P33879	ATP1B3
Q5ZMN0	ANP32B
P35237	SERPINB6
Q2HJ94	DNAJA2
Q5RCS8	ATP6V1D
Q9NWN3	FBXO34
P18254	IGF1
P04975	CLTB
Q9ESX5	Dkc1
Q5ZJH9	DKC1
Q969X5	ERGIC1
O75832	PSMD10
A1IGU3	Arhgef37
Q6P7W2	Shkbp1
Q9P016	THYN1
Q29S11	NUCKS1
Q14106	TOB2
Q5R8C0	ACP6
Q9NPH0	ACP6
Q8VC88	Gca
P49760	CLK2
P25791	LMO2
Q8N5Y2	MSL3
Q9H756	LRRC19
Q5R9E5	FAM32A
B2RYG1	Fam32a
Q5BJW3	Tex261
Q9NX74	DUS2
Q9CQ22	Lamtor1
